FIRST_ID,SECOND_ID,SIMILARITY
31,32,"0,0537"
32,31,"0,0537"
21,28,"0,0536"
28,21,"0,0536"
34,41,"0,0531"
41,34,"0,0531"
4,7,"0,0530"
7,4,"0,0530"
15,48,"0,0529"
48,15,"0,0529"
8,19,"0,0528"
19,8,"0,0528"
29,37,"0,0524"
37,29,"0,0524"
4,17,"0,0524"
17,4,"0,0524"
22,24,"0,0523"
24,22,"0,0523"
21,39,"0,0522"
39,21,"0,0522"
27,46,"0,0522"
46,27,"0,0522"
22,28,"0,0520"
28,22,"0,0520"
35,40,"0,0515"
40,35,"0,0515"
15,40,"0,0514"
40,15,"0,0514"
15,49,"0,0513"
49,15,"0,0513"
1,14,"0,0512"
14,1,"0,0512"
20,49,"0,0508"
49,20,"0,0508"
17,36,"0,0507"
36,17,"0,0507"
34,36,"0,0507"
36,34,"0,0507"
21,27,"0,0502"
27,21,"0,0502"
18,42,"0,0502"
42,18,"0,0502"
33,50,"0,0502"
50,33,"0,0502"
18,31,"0,0500"
31,18,"0,0500"
1,32,"0,0498"
32,1,"0,0498"
15,29,"0,0498"
29,15,"0,0498"
23,35,"0,0497"
35,23,"0,0497"
14,15,"0,0494"
15,14,"0,0494"
20,28,"0,0491"
28,20,"0,0491"
21,33,"0,0486"
33,21,"0,0486"
15,44,"0,0485"
44,15,"0,0485"
12,41,"0,0482"
41,12,"0,0482"
16,31,"0,0482"
31,16,"0,0482"
6,24,"0,0481"
24,6,"0,0481"
26,38,"0,0479"
38,26,"0,0479"
18,33,"0,0479"
33,18,"0,0479"
42,44,"0,0478"
44,42,"0,0478"
12,28,"0,0476"
28,12,"0,0476"
7,45,"0,0476"
45,7,"0,0476"
10,15,"0,0472"
15,10,"0,0472"
27,32,"0,0467"
32,27,"0,0467"
13,48,"0,0464"
48,13,"0,0464"
8,15,"0,0464"
15,8,"0,0464"
13,40,"0,0463"
40,13,"0,0463"
29,47,"0,0463"
47,29,"0,0463"
29,38,"0,0459"
38,29,"0,0459"
23,32,"0,0459"
32,23,"0,0459"
21,24,"0,0457"
24,21,"0,0457"
3,14,"0,0457"
14,3,"0,0457"
38,45,"0,0457"
45,38,"0,0457"
12,22,"0,0456"
22,12,"0,0456"
20,29,"0,0455"
29,20,"0,0455"
11,14,"0,0455"
14,11,"0,0455"
3,18,"0,0455"
18,3,"0,0455"
41,48,"0,0454"
48,41,"0,0454"
16,25,"0,0453"
25,16,"0,0453"
40,48,"0,0453"
48,40,"0,0453"
7,16,"0,0450"
16,7,"0,0450"
20,21,"0,0449"
21,20,"0,0449"
36,41,"0,0449"
41,36,"0,0449"
12,29,"0,0447"
29,12,"0,0447"
4,11,"0,0446"
11,4,"0,0446"
25,29,"0,0446"
29,25,"0,0446"
11,25,"0,0445"
25,11,"0,0445"
4,31,"0,0443"
31,4,"0,0443"
29,36,"0,0442"
36,29,"0,0442"
25,31,"0,0442"
31,25,"0,0442"
32,36,"0,0440"
36,32,"0,0440"
3,16,"0,0438"
16,3,"0,0438"
11,18,"0,0438"
18,11,"0,0438"
22,31,"0,0436"
31,22,"0,0436"
1,4,"0,0436"
4,1,"0,0436"
13,26,"0,0432"
26,13,"0,0432"
31,48,"0,0426"
48,31,"0,0426"
21,37,"0,0425"
37,21,"0,0425"
31,40,"0,0425"
40,31,"0,0425"
14,21,"0,0423"
21,14,"0,0423"
28,34,"0,0423"
34,28,"0,0423"
31,36,"0,0421"
36,31,"0,0421"
8,45,"0,0419"
45,8,"0,0419"
29,42,"0,0419"
42,29,"0,0419"
18,37,"0,0417"
37,18,"0,0417"
6,31,"0,0416"
31,6,"0,0416"
28,31,"0,0415"
31,28,"0,0415"
36,37,"0,0414"
37,36,"0,0414"
15,20,"0,0414"
20,15,"0,0414"
19,45,"0,0414"
45,19,"0,0414"
11,17,"0,0414"
17,11,"0,0414"
41,43,"0,0414"
43,41,"0,0414"
20,40,"0,0414"
40,20,"0,0414"
19,38,"0,0412"
38,19,"0,0412"
19,37,"0,0411"
37,19,"0,0411"
34,39,"0,0410"
39,34,"0,0410"
11,16,"0,0405"
16,11,"0,0405"
19,20,"0,0402"
20,19,"0,0402"
37,38,"0,0400"
38,37,"0,0400"
18,47,"0,0399"
47,18,"0,0399"
1,40,"0,0398"
40,1,"0,0398"
4,16,"0,0398"
16,4,"0,0398"
19,35,"0,0397"
35,19,"0,0397"
6,49,"0,0397"
49,6,"0,0397"
4,45,"0,0396"
45,4,"0,0396"
17,44,"0,0396"
44,17,"0,0396"
3,19,"0,0395"
19,3,"0,0395"
19,21,"0,0395"
21,19,"0,0395"
11,29,"0,0391"
29,11,"0,0391"
18,29,"0,0388"
29,18,"0,0388"
31,43,"0,0388"
43,31,"0,0388"
39,43,"0,0385"
43,39,"0,0385"
18,23,"0,0385"
23,18,"0,0385"
8,20,"0,0384"
20,8,"0,0384"
13,27,"0,0382"
27,13,"0,0382"
17,40,"0,0382"
40,17,"0,0382"
3,21,"0,0381"
21,3,"0,0381"
10,25,"0,0380"
25,10,"0,0380"
18,40,"0,0378"
40,18,"0,0378"
22,44,"0,0378"
44,22,"0,0378"
13,18,"0,0377"
18,13,"0,0377"
13,38,"0,0374"
38,13,"0,0374"
15,35,"0,0374"
35,15,"0,0374"
14,33,"0,0373"
33,14,"0,0373"
26,27,"0,0370"
27,26,"0,0370"
33,40,"0,0369"
40,33,"0,0369"
7,48,"0,0368"
48,7,"0,0368"
16,35,"0,0367"
35,16,"0,0367"
20,46,"0,0367"
46,20,"0,0367"
28,46,"0,0366"
46,28,"0,0366"
1,16,"0,0366"
16,1,"0,0366"
36,47,"0,0365"
47,36,"0,0365"
9,11,"0,0365"
11,9,"0,0365"
3,7,"0,0363"
7,3,"0,0363"
6,19,"0,0358"
19,6,"0,0358"
34,43,"0,0356"
43,34,"0,0356"
25,49,"0,0356"
49,25,"0,0356"
7,38,"0,0355"
38,7,"0,0355"
25,48,"0,0353"
48,25,"0,0353"
39,48,"0,0350"
48,39,"0,0350"
17,50,"0,0350"
50,17,"0,0350"
4,33,"0,0349"
33,4,"0,0349"
20,33,"0,0347"
33,20,"0,0347"
11,38,"0,0346"
38,11,"0,0346"
27,38,"0,0345"
38,27,"0,0345"
4,48,"0,0345"
48,4,"0,0345"
4,29,"0,0345"
29,4,"0,0345"
34,38,"0,0345"
38,34,"0,0345"
12,44,"0,0343"
44,12,"0,0343"
40,42,"0,0342"
42,40,"0,0342"
8,14,"0,0340"
14,8,"0,0340"
8,9,"0,0340"
9,8,"0,0340"
29,40,"0,0340"
40,29,"0,0340"
6,38,"0,0338"
38,6,"0,0338"
19,46,"0,0338"
46,19,"0,0338"
16,42,"0,0334"
42,16,"0,0334"
17,20,"0,0334"
20,17,"0,0334"
4,38,"0,0332"
38,4,"0,0332"
11,26,"0,0331"
26,11,"0,0331"
36,42,"0,0330"
42,36,"0,0330"
1,19,"0,0330"
19,1,"0,0330"
32,34,"0,0328"
34,32,"0,0328"
38,49,"0,0326"
49,38,"0,0326"
17,30,"0,0325"
30,17,"0,0325"
25,42,"0,0324"
42,25,"0,0324"
7,19,"0,0322"
19,7,"0,0322"
19,33,"0,0322"
33,19,"0,0322"
39,47,"0,0322"
47,39,"0,0322"
37,42,"0,0322"
42,37,"0,0322"
14,32,"0,0321"
32,14,"0,0321"
28,36,"0,0320"
36,28,"0,0320"
20,31,"0,0320"
31,20,"0,0320"
33,39,"0,0315"
39,33,"0,0315"
26,40,"0,0315"
40,26,"0,0315"
34,40,"0,0314"
40,34,"0,0314"
9,42,"0,0314"
42,9,"0,0314"
8,24,"0,0313"
